Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2013-04-30T00:00:00;18022;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-05-31T00:00:00;18012;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-06-30T00:00:00;18129;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-07-31T00:00:00;18519;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-08-31T00:00:00;18021;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-09-30T00:00:00;18384;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-10-31T00:00:00;18485;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-11-30T00:00:00;18617;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-12-31T00:00:00;18882;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-01-31T00:00:00;18969;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-02-28T00:00:00;19064;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-03-31T00:00:00;18942;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-04-30T00:00:00;19350;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-05-31T00:00:00;19628;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-06-30T00:00:00;19707;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-07-31T00:00:00;19869;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-08-31T00:00:00;20039;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-09-30T00:00:00;20160;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2014-10-31T00:00:00;20082;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
